bias,cand_sampler,n_voters,n_candidates,time_steps,trial,ks_distance_start,cs_distance_start,ks_distance_true,cs_distance_true,entrywise_distance
1.3,Sample,14,3,56.,8,30.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,61.,8,30.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,66.,8,30.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,71.,8,30.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,76.,8,30.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,81.,8,30.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,86.,8,30.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,91.,8,30.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,96.,8,30.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,101.,8,30.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,106.,8,30.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,111.,8,30.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,116.,8,30.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,121.,8,30.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,126.,8,30.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,131.,8,30.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,136.,8,30.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,141.,8,30.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,146.,8,30.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,151.,8,30.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,1.,9,6.,6.,22.,20.,0.
1.3,Sample,14,3,6.,9,32.,28.,20.,20.,13.2293001502
1.3,Sample,14,3,11.,9,32.,28.,20.,20.,13.7997556677
1.3,Sample,14,3,16.,9,32.,28.,20.,20.,13.8249037693
1.3,Sample,14,3,21.,9,32.,28.,20.,20.,13.8260329829
1.3,Sample,14,3,26.,9,32.,28.,20.,20.,13.8260844636
1.3,Sample,14,3,31.,9,32.,28.,20.,20.,13.8260868402
1.3,Sample,14,3,36.,9,32.,28.,20.,20.,13.826086951
1.3,Sample,14,3,41.,9,32.,28.,20.,20.,13.8260869563
1.3,Sample,14,3,46.,9,32.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,51.,9,32.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,56.,9,32.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,61.,9,32.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,66.,9,32.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,71.,9,32.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,76.,9,32.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,81.,9,32.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,86.,9,32.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,91.,9,32.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,96.,9,32.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,101.,9,32.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,106.,9,32.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,111.,9,32.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,116.,9,32.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,121.,9,32.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,126.,9,32.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,131.,9,32.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,136.,9,32.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,141.,9,32.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,146.,9,32.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,151.,9,32.,28.,20.,20.,13.8260869565
1.3,Sample,14,3,1.,10,4.,4.,16.,16.,0.
1.3,Sample,14,3,6.,10,26.,22.,18.,18.,13.2293001502
1.3,Sample,14,3,11.,10,26.,22.,18.,18.,13.7997556677
1.3,Sample,14,3,16.,10,26.,22.,18.,18.,13.8249037693
1.3,Sample,14,3,21.,10,26.,22.,18.,18.,13.8260329829
1.3,Sample,14,3,26.,10,26.,22.,18.,18.,13.8260844636
1.3,Sample,14,3,31.,10,26.,22.,18.,18.,13.8260868402
1.3,Sample,14,3,36.,10,26.,22.,18.,18.,13.826086951
1.3,Sample,14,3,41.,10,26.,22.,18.,18.,13.8260869563
1.3,Sample,14,3,46.,10,26.,22.,18.,18.,13.8260869565
1.3,Sample,14,3,51.,10,26.,22.,18.,18.,13.8260869565
1.3,Sample,14,3,56.,10,26.,22.,18.,18.,13.8260869565
1.3,Sample,14,3,61.,10,26.,22.,18.,18.,13.8260869565
1.3,Sample,14,3,66.,10,26.,22.,18.,18.,13.8260869565
1.3,Sample,14,3,71.,10,26.,22.,18.,18.,13.8260869565
1.3,Sample,14,3,76.,10,26.,22.,18.,18.,13.8260869565
1.3,Sample,14,3,81.,10,26.,22.,18.,18.,13.8260869565
1.3,Sample,14,3,86.,10,26.,22.,18.,18.,13.8260869565
1.3,Sample,14,3,91.,10,26.,22.,18.,18.,13.8260869565
1.3,Sample,14,3,96.,10,26.,22.,18.,18.,13.8260869565
1.3,Sample,14,3,101.,10,26.,22.,18.,18.,13.8260869565
1.3,Sample,14,3,106.,10,26.,22.,18.,18.,13.8260869565
1.3,Sample,14,3,111.,10,26.,22.,18.,18.,13.8260869565
1.3,Sample,14,3,116.,10,26.,22.,18.,18.,13.8260869565
1.3,Sample,14,3,121.,10,26.,22.,18.,18.,13.8260869565
1.3,Sample,14,3,126.,10,26.,22.,18.,18.,13.8260869565
1.3,Sample,14,3,131.,10,26.,22.,18.,18.,13.8260869565
1.3,Sample,14,3,136.,10,26.,22.,18.,18.,13.8260869565
1.3,Sample,14,3,141.,10,26.,22.,18.,18.,13.8260869565
1.3,Sample,14,3,146.,10,26.,22.,18.,18.,13.8260869565
1.3,Sample,14,3,151.,10,26.,22.,18.,18.,13.8260869565
1.3,Sample,14,3,1.,11,0.,0.,12.,10.,0.
1.3,Sample,14,3,6.,11,12.,10.,0.,0.,13.2293001502
1.3,Sample,14,3,11.,11,12.,10.,0.,0.,13.7997556677
1.3,Sample,14,3,16.,11,12.,10.,0.,0.,13.8249037693
1.3,Sample,14,3,21.,11,12.,10.,0.,0.,13.8260329829
1.3,Sample,14,3,26.,11,12.,10.,0.,0.,13.8260844636
1.3,Sample,14,3,31.,11,12.,10.,0.,0.,13.8260868402
1.3,Sample,14,3,36.,11,12.,10.,0.,0.,13.826086951
1.3,Sample,14,3,41.,11,12.,10.,0.,0.,13.8260869563
1.3,Sample,14,3,46.,11,12.,10.,0.,0.,13.8260869565
1.3,Sample,14,3,51.,11,12.,10.,0.,0.,13.8260869565
1.3,Sample,14,3,56.,11,12.,10.,0.,0.,13.8260869565
1.3,Sample,14,3,61.,11,12.,10.,0.,0.,13.8260869565
1.3,Sample,14,3,66.,11,12.,10.,0.,0.,13.8260869565
1.3,Sample,14,3,71.,11,12.,10.,0.,0.,13.8260869565
1.3,Sample,14,3,76.,11,12.,10.,0.,0.,13.8260869565
1.3,Sample,14,3,81.,11,12.,10.,0.,0.,13.8260869565
1.3,Sample,14,3,86.,11,12.,10.,0.,0.,13.8260869565
1.3,Sample,14,3,91.,11,12.,10.,0.,0.,13.8260869565
1.3,Sample,14,3,96.,11,12.,10.,0.,0.,13.8260869565
1.3,Sample,14,3,101.,11,12.,10.,0.,0.,13.8260869565
1.3,Sample,14,3,106.,11,12.,10.,0.,0.,13.8260869565
1.3,Sample,14,3,111.,11,12.,10.,0.,0.,13.8260869565
1.3,Sample,14,3,116.,11,12.,10.,0.,0.,13.8260869565
1.3,Sample,14,3,121.,11,12.,10.,0.,0.,13.8260869565
1.3,Sample,14,3,126.,11,12.,10.,0.,0.,13.8260869565
1.3,Sample,14,3,131.,11,12.,10.,0.,0.,13.8260869565
1.3,Sample,14,3,136.,11,12.,10.,0.,0.,13.8260869565
1.3,Sample,14,3,141.,11,12.,10.,0.,0.,13.8260869565
1.3,Sample,14,3,146.,11,12.,10.,0.,0.,13.8260869565
1.3,Sample,14,3,151.,11,12.,10.,0.,0.,13.8260869565
1.3,Sample,14,3,1.,12,2.,2.,10.,10.,0.
1.3,Sample,14,3,6.,12,18.,18.,10.,10.,13.2293001502
1.3,Sample,14,3,11.,12,20.,20.,12.,12.,13.7997556677
1.3,Sample,14,3,16.,12,20.,20.,12.,12.,13.8249037693
1.3,Sample,14,3,21.,12,20.,20.,12.,12.,13.8260329829
1.3,Sample,14,3,26.,12,20.,20.,12.,12.,13.8260844636
1.3,Sample,14,3,31.,12,20.,20.,12.,12.,13.8260868402
1.3,Sample,14,3,36.,12,20.,20.,12.,12.,13.826086951
1.3,Sample,14,3,41.,12,20.,20.,12.,12.,13.8260869563
