bias,cand_sampler,n_voters,n_candidates,time_steps,trial,sparse,grouped,credibility,knowledge,ego,selfknowledge,similarity,meta,substantative,cyclic_start,condorcet_start,unique_start,proximity_to_voter_sp_start,proximity_to_cand_sp_start,cyclic_end,condorcet_end,unique_end,proximity_to_voter_sp_end,proximity_to_cand_sp_end,cyclic_true,condorcet_true,unique_true,proximity_to_voter_sp_true,proximity_to_cand_sp_true
3.,Voter,6,3,9.,1,false,true,false,false,false,false,true,true,true,false,true,4,5,2,false,true,2,6,3,false,true,3,5,2
3.,Voter,6,3,10.,1,false,true,false,false,false,false,true,true,true,false,true,4,5,2,false,true,2,6,3,false,true,3,5,2
3.,Voter,6,3,11.,1,false,true,false,false,false,false,true,true,true,false,true,4,5,2,false,true,2,6,3,false,true,3,5,2
3.,Voter,6,3,12.,1,false,true,false,false,false,false,true,true,true,false,true,4,5,2,false,true,2,6,3,false,true,3,5,2
3.,Voter,6,3,13.,1,false,true,false,false,false,false,true,true,true,false,true,4,5,2,false,true,2,6,3,false,true,3,5,2
3.,Voter,6,3,14.,1,false,true,false,false,false,false,true,true,true,false,true,4,5,2,false,true,2,6,3,false,true,3,5,2
3.,Voter,6,3,15.,1,false,true,false,false,false,false,true,true,true,false,true,4,5,2,false,true,2,6,3,false,true,3,5,2
3.,Voter,6,3,16.,1,false,true,false,false,false,false,true,true,true,false,true,4,5,2,false,true,2,6,3,false,true,3,5,2
3.,Voter,6,3,17.,1,false,true,false,false,false,false,true,true,true,false,true,4,5,2,false,true,2,6,3,false,true,3,5,2
3.,Voter,6,3,18.,1,false,true,false,false,false,false,true,true,true,false,true,4,5,2,false,true,2,6,3,false,true,3,5,2
3.,Voter,6,3,19.,1,false,true,false,false,false,false,true,true,true,false,true,4,5,2,false,true,2,6,3,false,true,3,5,2
3.,Voter,6,3,20.,1,false,true,false,false,false,false,true,true,true,false,true,4,5,2,false,true,2,6,3,false,true,3,5,2
3.,Voter,4,3,0.,1,false,true,false,false,false,false,true,true,true,false,true,3,3,2,false,true,3,3,2,false,true,3,3,2
3.,Voter,4,3,1.,1,false,true,false,false,false,false,true,true,true,false,true,3,3,2,false,true,3,3,2,false,true,3,3,2
3.,Voter,4,3,2.,1,false,true,false,false,false,false,true,true,true,false,true,3,3,2,false,true,3,3,2,false,true,3,3,2
3.,Voter,4,3,3.,1,false,true,false,false,false,false,true,true,true,false,true,3,3,2,false,true,3,3,2,false,true,3,3,2
3.,Voter,4,3,4.,1,false,true,false,false,false,false,true,true,true,false,true,3,3,2,false,true,2,4,3,false,true,3,3,2
3.,Voter,4,3,5.,1,false,true,false,false,false,false,true,true,true,false,true,3,3,2,false,true,2,4,3,false,true,3,3,2
3.,Voter,4,3,6.,1,false,true,false,false,false,false,true,true,true,false,true,3,3,2,false,true,2,4,3,false,true,3,3,2
3.,Voter,4,3,7.,1,false,true,false,false,false,false,true,true,true,false,true,3,3,2,false,true,2,4,3,false,true,3,3,2
3.,Voter,4,3,8.,1,false,true,false,false,false,false,true,true,true,false,true,3,3,2,false,true,2,4,3,false,true,3,3,2
3.,Voter,4,3,9.,1,false,true,false,false,false,false,true,true,true,false,true,3,3,2,false,true,2,4,3,false,true,3,3,2
3.,Voter,4,3,10.,1,false,true,false,false,false,false,true,true,true,false,true,3,3,2,false,true,2,4,3,false,true,3,3,2
3.,Voter,4,3,11.,1,false,true,false,false,false,false,true,true,true,false,true,3,3,2,false,true,2,4,3,false,true,3,3,2
3.,Voter,4,3,12.,1,false,true,false,false,false,false,true,true,true,false,true,3,3,2,false,true,2,4,3,false,true,3,3,2
3.,Voter,4,3,13.,1,false,true,false,false,false,false,true,true,true,false,true,3,3,2,false,true,2,4,3,false,true,3,3,2
3.,Voter,4,3,14.,1,false,true,false,false,false,false,true,true,true,false,true,3,3,2,false,true,2,4,3,false,true,3,3,2
3.,Voter,4,3,15.,1,false,true,false,false,false,false,true,true,true,false,true,3,3,2,false,true,2,4,3,false,true,3,3,2
3.,Voter,4,3,16.,1,false,true,false,false,false,false,true,true,true,false,true,3,3,2,false,true,2,4,3,false,true,3,3,2
3.,Voter,4,3,17.,1,false,true,false,false,false,false,true,true,true,false,true,3,3,2,false,true,2,4,3,false,true,3,3,2
3.,Voter,4,3,18.,1,false,true,false,false,false,false,true,true,true,false,true,3,3,2,false,true,2,4,3,false,true,3,3,2
3.,Voter,4,3,19.,1,false,true,false,false,false,false,true,true,true,false,true,3,3,2,false,true,2,4,3,false,true,3,3,2
3.,Voter,4,3,20.,1,false,true,false,false,false,false,true,true,true,false,true,3,3,2,false,true,2,4,3,false,true,3,3,2
3.,Voter,4,7,0.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,false,4,3,4,false,false,4,2,5
3.,Voter,4,7,1.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,false,4,2,5,false,false,4,2,5
